reference,generated,human_score
"How do I activate my subscription?","Your subscription will expire next month.",0.2
"I want to cancel my order.","Your order has been shipped.",0.25
"Can I get my invoice?","Thank you for your patience.",0.19
"App crashed when I opened it.","Thank you for contacting us.",0.15
"Is there a discount for students?","You can update your email address.",0.22
"I lost my password.","Please try again later.",0.18
"Do you have 24x7 chat support?","You can track your shipment.",0.2
"My payment was declined.","The temperature is set to 22 degrees.",0.1
"Can I change delivery date?","Please restart the application.",0.16
"How do I change my number?","We appreciate your feedback.",0.14
"Where can I download the receipt?","The file has been deleted.",0.2
"Do you support Apple Pay?","The cart was updated successfully.",0.22
"Can I upgrade my membership?","We’re hiring new chefs.",0.1
"What are your return policies?","Please wear a mask.",0.17
"Why is my delivery late?","You can book a cab from the app.",0.16
"Is cash on delivery available?","Bluetooth is now turned on.",0.19
"How to change password?","Please select a language.",0.15
"Can I access order history?","Flight tickets are non-refundable.",0.2
"Do you have weekend support?","Water level is optimal.",0.18
"Can I reschedule pickup?","Your photo has been uploaded.",0.21
"What is my wallet balance?","Audio is muted by default.",0.14
"How can I contact support?","Bluetooth has been disconnected.",0.16
"Do I need to register?","Thanks for the compliment!",0.17
"My account was hacked.","Enjoy your meal!",0.1
"Can I redeem my voucher?","It’s sunny today.",0.12
"How do I delete my account?","We have added carrots.",0.14
"What’s your privacy policy?","Your battery is full.",0.13
"I need a duplicate bill.","Headphones are connected.",0.18
"How can I unsubscribe?","Screen brightness is reduced.",0.12
"Where’s my refund?","Rain is expected today.",0.15
"Can I talk to an agent?","Timer is set for 5 minutes.",0.11
"Why was my card declined?","Alarm turned off.",0.13
"App not working on iPhone.","Your delivery has a fragrance note.",0.16
"Can I pause my plan?","Please fold your laundry.",0.17
"I need help with login.","Battery saver is on.",0.2
"Does this app support dark mode?","Your message has been sent.",0.19
"Is there a referral bonus?","Voice assistant is disabled.",0.21
"My order shows failed.","Plant has been watered.",0.12
"What are delivery charges?","Location is being fetched.",0.18
"How do I enable notifications?","Charging cable is connected.",0.13
"How do I deactivate auto-pay?","Bluetooth headphones detected.",0.11
"Can I delete saved addresses?","Data sync complete.",0.14
"What’s my subscription plan?","You’ve reached Level 5.",0.15
"Do you ship to Canada?","Flashlight turned off.",0.12
"Is same-day delivery available?","Fan is at speed 2.",0.13
"How do I update my address?","Camera is unavailable.",0.14
"Can I return this item?","Weather update received.",0.16
"Where can I check my orders?","Wi-Fi disconnected.",0.17
"How do I contact a manager?","Printer is offline.",0.13
